Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
C02,,EVA1,1.78801429271698,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,35.7602844238281,,,2.67050647735596,1.12562119960785,13828,21,13807,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,17058.9938151042,9594.52344605827,9605.85942217555,,,,,2.20680212974548,1.42602002620697,,,,,,,,,,,,
C03,,EVA1,1.21808874607086,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,24.3617744445801,,,1.94792187213898,0.698460221290588,14495,15,14480,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16916.6836588542,9245.27309759151,9253.2117770271,,,,,1.56051754951477,0.929937481880188,,,,,,,,,,,,
C04,,EVA1,8.68142032623291,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,173.628402709961,,,10.2293128967285,7.13556146621704,16458,121,16337,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16568.2275794163,8904.16048409214,8960.50707046563,,,,,9.47090625762939,7.89246320724487,,,,,,,,,,,,
C05,,EVA1,2.16370129585266,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,43.2740249633789,,,3.10990595817566,1.4325076341629,14150,26,14124,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,15684.7097355769,8633.6449750729,8646.60099512749,,,,,2.61566781997681,1.76719653606415,,,,,,,,,,,,
D01,,EVA1,3.30958795547485,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,66.1917572021484,,,4.48132133483887,2.36296606063843,13527,38,13489,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,17096.4194849918,9973.33518272557,9993.34532566087,,,,,3.87497711181641,2.80226826667786,,,,,,,,,,,,
D02,,EVA1,2.08719944953918,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,41.7439880371094,,,3.02028918266296,1.36978721618652,14104,25,14079,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16131.351953125,9434.63024780091,9446.5005003983,,,,,2.53241896629333,1.69761407375336,,,,,,,,,,,,
D03,,EVA1,3.70050120353699,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,74.0100250244141,,,4.8944616317749,2.71914577484131,14329,45,14284,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16678.7124782986,9175.22072356691,9198.78532186142,,,,,4.27874803543091,3.17703747749329,,,,,,,,,,,,
D04,,EVA1,5.62290716171265,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,112.458145141602,,,7.05106210708618,4.4028639793396,14681,70,14611,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16664.0505719866,8836.19194021467,8873.51569910194,,,,,6.32073497772217,4.97868633270264,,,,,,,,,,,,
D05,,EVA1,1.81908392906189,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,36.3816795349121,,,2.71692848205566,1.14517509937286,13592,21,13571,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,16443.2824590774,8593.66378693106,8605.79165568584,,,,,2.24515581130981,1.4507954120636,,,,,,,,,,,,
E01,,EVA1,2.02817010879517,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,40.5634002685547,,,2.97882080078125,1.30547595024109,13353,23,13330,0,0,0,0,,,,,,,,,13918,,,,,,,,,,,,,,17027.3100798234,9989.9081913209,10002.0298301613,,,,,2.4805760383606,1.63451969623566,,,,,,,,,,,,
