site,hzn,rep,bulk_agg,sixteenS_conc_adj,sixteenS_copies_per_g,nirk_copies_per_ul,nirk_copies_per_ul_min,nirk_copies_per_ul_max,mass_extract_dry_g,nirk_copies_per_g,nirk_copies_per_g_min,nirk_copies_per_g_max,nirs_copies_per_ul,nirs_copies_per_ul_min,nirs_copies_per_ul_max,nirs_copies_per_g,nirs_copies_per_g_min,nirs_copies_per_g_max,mcra_copies_per_ul,mcra_copies_per_ul_min,mcra_copies_per_ul_max,mcra_copies_per_g,mcra_copies_per_g_min,mcra_copies_per_g_max
R,B,3,B,593750,249152589.3323623,392.124160766602,379.318634033203,405.070770263672,0.2383077782137575,164545.26314910047,159171.73869707328,169977.9895141867,2.14880537986755,1.51149010658264,2.94455170631409,901.6933462994704,634.2596611457905,1235.6087276651472,2.08719944953918,1.36978721618652,3.02028918266296,875.8419323044513,574.7975271532459,1267.390097504001
R,B,3,IN,117750,49410892.45286006,462.674591064453,449.782165527344,475.709899902344,0.2383077782137575,194150.01664336896,188740.02724489252,199619.96350603434,0,0,0,0,0,0,0,0,0.941000461578369,0,0,394.8677078992821
R,C,1,B,0,0,0.0801001265645027,0.00336409546434879,0.382607370615005,0.24505096736050233,32.68712930509057,1.3728146028494397,156.13379320071772,0,0,0,0,0,0,0,0,0,0,0,0
R,C,2,B,241250,105110002.61089031,54.460506439209,50.3404541015625,58.5950393676758,0.22952144801393468,23727.850669494994,21932.78865097881,25529.22172402746,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
R,C,3,B,306250,129395796.3275142,532.004272460938,517.2177734375,546.97900390625,0.23667693131610662,224780.78852154416,218533.24299980127,231107.8654200154,1.86542296409607,1.26436936855316,2.63251948356628,788.172701801936,534.2174083136406,1112.283934444915,1.21808874607086,0.698460221290588,1.94792187213898,514.66306382178675,295.1112376717957,823.0298835239366
T,A,1,B,3208750,1393812306.745884,4024.5556640625,3902.2958374023397,4148.09967041016,0.23021392367322602,1748180.8223620306,1695073.7710119565,1801845.6938765019,NA,NA,NA,NA,NA,NA,3.70050120353699,2.71914577484131,4.8944616317749,1607.4185021013827,1181.1387128351819,2126.04935169876
T,A,1,IN,1601250,695548720.2732673,8051.76635742188,7862.437133789061,8244.19250488281,0.23021392367322602,3497514.932611482,3415274.371045119,3581100.7315895087,105.497596740723,100.316772460938,110.701347351074,45825.897520633946,43575.458365120976,48086.295383335506,13.6785249710083,11.54079246521,15.8201484680176,5941.658416119129,5013.073180400425,6871.933815121144
T,A,2,B,4606250,2109126399.3677738,2877.07275390625,2770.0143432617197,2985.11413574219,0.21839610946886623,1317364.4717862501,1268344.1797559143,1366834.8502186744,209.600204467773,202.36083984375,216.884384155273,95972.49922515349,92657.71278430115,99307.80574925547,9.43633008003235,7.825117111206035,11.150920152664206,4320.740924818333,3582.992906895878,5105.823624689541
T,A,2,IN,1661250,702146911.9531835,5321.57104492188,5182.69287109375,5462.108764648439,0.23659578525793842,2249224.786113694,2190526.287458393,2308624.7114223144,193.38395690918,186.242233276367,200.569290161133,81736.01093457833,78717.47718300408,84772.97680618905,15.9772453308105,13.8026685714722,18.1558494567871,6752.971238854485,5833.8607158299255,7673.783975903654
T,A,3,B,3043750,1353319938.1561728,5795.004272460939,5639.381713867189,5952.713012695311,0.22490986160648377,2576589.675111818,2507396.37363443,2646710.5400253837,181.403823852539,174.693450927734,188.152694702148,80656.23381598729,77672.65058096408,83656.93409715916,15.8555355072021,13.6975088119507,18.0175266265869,7049.728897590061,6090.221528799261,8010.998938815534
